epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,24562.1,1.12222,0.44369,1.66378,0.99533,0.98802,0.99476,0.9498,1.00663,0.3617,1.69749,0.005842,0.005842,0.005842
44,25131.6,1.11805,0.44208,1.66351,0.9946,0.99027,0.99477,0.95014,1.00408,0.35987,1.69661,0.005743,0.005743,0.005743
45,25701.5,1.11143,0.43994,1.66103,0.9957,0.98923,0.99479,0.95047,1.00125,0.35865,1.69578,0.005644,0.005644,0.005644
46,26271.9,1.10712,0.4351,1.66014,0.99567,0.98832,0.99479,0.95096,0.99871,0.35745,1.69502,0.005545,0.005545,0.005545
47,26842.8,1.09671,0.43255,1.65697,0.99441,0.9898,0.9948,0.95126,0.99627,0.35579,1.69431,0.005446,0.005446,0.005446
48,27412.7,1.08617,0.42735,1.65616,0.99641,0.98833,0.99482,0.95159,0.99434,0.35489,1.69372,0.005347,0.005347,0.005347
49,27983.2,1.08022,0.42493,1.65287,0.99469,0.99045,0.99482,0.95171,0.99211,0.35416,1.69301,0.005248,0.005248,0.005248
50,28552.1,1.06827,0.42189,1.65086,0.99581,0.98906,0.99481,0.95191,0.98962,0.35238,1.69232,0.005149,0.005149,0.005149
51,29121.4,1.05921,0.41797,1.65002,0.99541,0.9892,0.9948,0.95216,0.98697,0.3515,1.69168,0.00505,0.00505,0.00505
52,29690.5,1.05209,0.41363,1.6467,0.99445,0.9891,0.9948,0.95265,0.98398,0.35054,1.69098,0.004951,0.004951,0.004951
53,30258.9,1.04988,0.41384,1.64826,0.99415,0.98973,0.99482,0.95286,0.98156,0.34901,1.69035,0.004852,0.004852,0.004852
54,30828.6,1.03662,0.40894,1.64473,0.99499,0.99019,0.99481,0.95314,0.97908,0.3474,1.68973,0.004753,0.004753,0.004753
55,31397.8,1.03284,0.40648,1.64233,0.99344,0.99057,0.99482,0.95335,0.97616,0.3465,1.68906,0.004654,0.004654,0.004654
56,31967.7,1.02757,0.40475,1.64309,0.99464,0.99024,0.99483,0.9536,0.97374,0.34517,1.6884,0.004555,0.004555,0.004555
57,32536.7,1.02025,0.40267,1.64038,0.99439,0.99179,0.99484,0.95391,0.97196,0.34406,1.6879,0.004456,0.004456,0.004456
58,33105.8,1.0141,0.39851,1.63809,0.99527,0.99017,0.99484,0.9542,0.9702,0.34289,1.68741,0.004357,0.004357,0.004357
59,33675,1.00931,0.39708,1.6379,0.99502,0.9916,0.99485,0.95454,0.96765,0.34203,1.68677,0.004258,0.004258,0.004258
60,34244.8,1.00066,0.39301,1.63566,0.99524,0.99159,0.99486,0.95474,0.96558,0.34103,1.68618,0.004159,0.004159,0.004159
61,34815.5,0.99514,0.39085,1.63443,0.99543,0.9909,0.99486,0.95492,0.96353,0.34011,1.68563,0.00406,0.00406,0.00406
62,35383.7,0.98913,0.38888,1.63408,0.99426,0.99124,0.99486,0.95514,0.96138,0.3397,1.68501,0.003961,0.003961,0.003961
63,35952.4,0.97919,0.38493,1.63163,0.99335,0.99092,0.99485,0.95537,0.95957,0.3392,1.68449,0.003862,0.003862,0.003862
64,36521.6,0.97226,0.38256,1.62834,0.99455,0.99167,0.99488,0.95563,0.95752,0.33811,1.68389,0.003763,0.003763,0.003763
65,37091.4,0.96505,0.37907,1.62865,0.99391,0.9917,0.99488,0.95571,0.95518,0.3369,1.68331,0.003664,0.003664,0.003664
66,37661.1,0.95886,0.37722,1.62695,0.99547,0.99101,0.99487,0.95578,0.9536,0.33569,1.6828,0.003565,0.003565,0.003565
67,38230.3,0.95254,0.37491,1.62661,0.99555,0.99161,0.99489,0.956,0.95164,0.33479,1.68223,0.003466,0.003466,0.003466
68,38799.6,0.9477,0.37256,1.62476,0.99534,0.99128,0.99488,0.95617,0.95001,0.33399,1.68177,0.003367,0.003367,0.003367
69,39369.6,0.93746,0.36878,1.62302,0.99548,0.99165,0.99488,0.95633,0.9478,0.33322,1.68113,0.003268,0.003268,0.003268
70,39938.7,0.93494,0.36781,1.62233,0.99568,0.98951,0.99488,0.95651,0.94498,0.33231,1.68048,0.003169,0.003169,0.003169
71,40508.3,0.92897,0.36411,1.62061,0.99497,0.99154,0.99487,0.95673,0.94313,0.33143,1.67988,0.00307,0.00307,0.00307
72,41077.9,0.91809,0.36196,1.61866,0.99573,0.99195,0.9949,0.95717,0.94156,0.32982,1.67942,0.002971,0.002971,0.002971
73,41647,0.91113,0.35871,1.61768,0.99604,0.99146,0.99489,0.9573,0.94009,0.32954,1.6789,0.002872,0.002872,0.002872
74,42216.8,0.9031,0.35563,1.6157,0.99467,0.99144,0.99489,0.95768,0.93804,0.32912,1.67832,0.002773,0.002773,0.002773
75,42787.2,0.89926,0.35608,1.61485,0.9947,0.9917,0.9949,0.9579,0.93612,0.3284,1.6778,0.002674,0.002674,0.002674
76,43357.1,0.88782,0.35192,1.61196,0.9957,0.9912,0.9949,0.95827,0.93387,0.32684,1.67722,0.002575,0.002575,0.002575
77,43926.2,0.88305,0.35034,1.61062,0.99655,0.9909,0.9949,0.95849,0.9316,0.3259,1.67669,0.002476,0.002476,0.002476
78,44495.2,0.87576,0.3472,1.61038,0.9961,0.99152,0.9949,0.95878,0.92938,0.32511,1.67609,0.002377,0.002377,0.002377
79,45065.1,0.86597,0.34453,1.6073,0.99618,0.99155,0.99491,0.95915,0.9269,0.32427,1.67546,0.002278,0.002278,0.002278
80,45634.8,0.86078,0.34055,1.60692,0.99581,0.99138,0.99491,0.95936,0.92456,0.32317,1.67492,0.002179,0.002179,0.002179
81,46204.6,0.85194,0.33766,1.60539,0.99439,0.99121,0.99491,0.95962,0.92225,0.32244,1.67437,0.00208,0.00208,0.00208
82,46773.5,0.84427,0.33454,1.60388,0.99418,0.99179,0.99491,0.95987,0.92,0.32155,1.67379,0.001981,0.001981,0.001981
83,47344,0.83723,0.33222,1.60248,0.99637,0.99201,0.99491,0.96017,0.91816,0.32006,1.67324,0.001882,0.001882,0.001882
84,47913,0.83061,0.32994,1.60095,0.99662,0.99184,0.99492,0.96053,0.9162,0.31912,1.67272,0.001783,0.001783,0.001783
85,48482.2,0.82425,0.32785,1.60007,0.99673,0.99228,0.99492,0.9607,0.91393,0.31799,1.67219,0.001684,0.001684,0.001684
86,49051.2,0.81687,0.32539,1.59898,0.99693,0.99256,0.99492,0.96091,0.91139,0.31698,1.67159,0.001585,0.001585,0.001585
87,49620.1,0.80916,0.32251,1.59695,0.99739,0.99254,0.99492,0.96106,0.9091,0.31583,1.67109,0.001486,0.001486,0.001486
88,50189.4,0.80099,0.31965,1.59575,0.99684,0.993,0.99492,0.96139,0.90685,0.31491,1.6705,0.001387,0.001387,0.001387
89,50758,0.79404,0.31648,1.59508,0.99734,0.99266,0.99493,0.96154,0.90445,0.31369,1.67007,0.001288,0.001288,0.001288
90,51327.3,0.78618,0.31398,1.5921,0.99717,0.99269,0.99492,0.96173,0.90248,0.31301,1.66956,0.001189,0.001189,0.001189
91,51876.6,0.72607,0.28453,1.59116,0.99701,0.99297,0.99493,0.96208,0.89921,0.31238,1.66875,0.00109,0.00109,0.00109
92,52425.1,0.7081,0.278,1.58685,0.9972,0.99299,0.99493,0.9624,0.89606,0.31131,1.66806,0.000991,0.000991,0.000991
93,52973.9,0.69878,0.27431,1.58467,0.99738,0.9927,0.99492,0.9627,0.89291,0.31008,1.66741,0.000892,0.000892,0.000892
94,53522.8,0.68483,0.26965,1.58223,0.99743,0.99254,0.99492,0.96279,0.88968,0.30882,1.66691,0.000793,0.000793,0.000793
95,54071.4,0.6741,0.26767,1.58129,0.99783,0.99213,0.99492,0.96314,0.88626,0.30785,1.66629,0.000694,0.000694,0.000694
96,54620.4,0.6643,0.26399,1.57702,0.99673,0.9926,0.99492,0.96336,0.88228,0.30667,1.66556,0.000595,0.000595,0.000595
97,55168.6,0.65165,0.25922,1.57628,0.9979,0.99175,0.99493,0.96369,0.87849,0.30526,1.66496,0.000496,0.000496,0.000496
98,55717.8,0.6403,0.2561,1.57332,0.99767,0.99181,0.99492,0.96418,0.8751,0.30436,1.66436,0.000397,0.000397,0.000397
99,56265.9,0.62951,0.25253,1.57105,0.99734,0.99245,0.99493,0.96446,0.87182,0.30296,1.66378,0.000298,0.000298,0.000298
100,56814.6,0.62166,0.24993,1.57068,0.99682,0.99274,0.99492,0.96462,0.86853,0.30177,1.6632,0.000199,0.000199,0.000199
